IMU1,709042,708792.6658,3061,-16015,-909
IMU1,709090,708840.637,3091,-15971,-905
IMU1,709138,708888.6082,3099,-15976,-873
IMU1,709186,708936.5794,3058,-15990,-883
IMU1,709234,708984.5506,3080,-15997,-924
IMU1,709282,709032.5218,3079,-16023,-907
IMU1,709330,709080.493,3110,-15974,-855
IMU1,709378,709128.4642,3078,-16041,-877
IMU1,709426,709176.4354,3089,-16044,-947
IMU1,709474,709224.4066,3097,-16017,-935
IMU1,709522,709272.3778,3083,-16005,-928
IMU1,709570,709320.349,3071,-15979,-958
IMU1,709618,709368.3202,3107,-16009,-914
IMU1,709666,709416.2914,3065,-16023,-915
IMU1,709714,709464.2626,3038,-16036,-916
IMU1,709762,709512.2338,3113,-16046,-923
IMU1,709810,709560.205,3085,-16033,-960
IMU1,709858,709608.1762,3049,-16020,-931
IMU1,709906,709656.1474,3072,-16057,-927
IMU1,709954,709704.1186,3079,-16074,-943
IMU1,710002,709752.0898,3085,-16040,-955
IMU1,710050,709800.061,3082,-16067,-938
IMU1,710098,709848.0322,3034,-16051,-946
IMU1,710146,709896.0034,3040,-15983,-928
IMU1,710194,709943.9746,3076,-15975,-942
IMU1,710242,709991.9458,3059,-16012,-918
IMU1,710290,710039.917,3018,-16013,-927
IMU1,710338,710087.8882,3016,-16013,-889
IMU1,710386,710135.8594,3027,-16026,-925
IMU1,710434,710183.8306,3024,-16016,-892
IMU1,710482,710231.8018,3054,-16032,-911
IMU1,710530,710279.773,3085,-16016,-935
IMU1,710578,710327.7442,3014,-16034,-950
IMU1,710626,710375.7154,3073,-15990,-923
IMU1,710674,710423.6866,3068,-16010,-909
IMU1,710722,710471.6578,3051,-15982,-914
IMU1,710770,710519.629,3071,-15992,-931
IMU1,710818,710567.6002,3034,-16039,-919
IMU1,710866,710615.5714,3029,-15992,-923
IMU1,710914,710663.5426,3032,-16011,-916
IMU1,710962,710711.5138,3051,-15992,-940
IMU1,711010,710759.485,3078,-15991,-932
IMU1,711058,710807.4562,3029,-16001,-943
IMU1,711106,710855.4274,3075,-16031,-949
IMU1,711154,710903.3986,3069,-15991,-948
IMU1,711202,710951.3698,3061,-16006,-925
IMU1,711250,710999.341,3080,-16011,-899
IMU1,711298,711047.3122,3109,-15999,-974
IMU1,711346,711095.2834,3039,-16011,-950
IMU1,711394,711143.2546,3088,-15973,-955
IMU1,711442,711191.2258,3097,-15998,-944
IMU1,711490,711239.197,3115,-16011,-970
IMU1,711538,711287.1682,3116,-16021,-950
IMU1,711586,711335.1394,3132,-16040,-968
IMU1,711634,711383.1106,3067,-15997,-920
IMU1,711682,711431.0818,3087,-15980,-930
IMU1,711730,711479.053,3140,-16052,-929
IMU1,711778,711527.0242,3129,-16023,-938
IMU1,711826,711574.9954,3082,-16049,-925
IMU1,711874,711622.9666,3127,-16036,-978
IMU1,711922,711670.9378,3110,-15978,-929
IMU1,711970,711718.909,3153,-16017,-891
IMU1,712018,711766.8802,3093,-16007,-866
IMU1,712066,711814.8514,3109,-15994,-871
IMU1,712114,711862.8226,3069,-16046,-887
IMU1,712162,711910.7938,3085,-16056,-845
IMU1,712210,711958.765,3127,-15984,-865
IMU1,712258,712006.7362,3086,-16016,-884
IMU1,712306,712054.7074,3102,-15996,-867
IMU1,712354,712102.6786,3105,-16009,-892
IMU1,712402,712150.6498,3123,-16028,-893
IMU1,712450,712198.621,3103,-16003,-927
IMU1,712498,712246.5922,3096,-16016,-907
IMU1,712546,712294.5634,3083,-16031,-934
IMU1,712594,712342.5346,3112,-16027,-979
IMU1,712642,712390.5058,3088,-16046,-961
IMU1,712690,712438.477,3040,-16044,-948
IMU1,712738,712486.4482,3077,-16059,-952
IMU1,712786,712534.4194,3073,-16029,-920
IMU1,712834,712582.3906,3046,-16044,-968
IMU1,712882,712630.3618,3076,-16054,-955
IMU1,712930,712678.333,3068,-16052,-955
IMU1,712978,712726.3042,3088,-16065,-932
IMU1,713026,712774.2754,3130,-16004,-954
IMU1,713074,712822.2466,3061,-16028,-953
IMU1,713122,712870.2178,3097,-16080,-941
IMU1,713170,712918.189,3088,-16044,-916
IMU1,713218,712966.1602,3099,-16040,-952
IMU1,713266,713014.1314,3100,-16071,-928
IMU1,713314,713062.1026,3084,-16061,-931
IMU1,713362,713110.0738,3111,-16071,-915
IMU1,713410,713158.045,3094,-16094,-925
IMU1,713458,713206.0162,3101,-16049,-899
IMU1,713506,713253.9874,3125,-16080,-917
IMU1,713554,713301.9586,3081,-16059,-930
IMU1,713602,713349.9298,3102,-16084,-894
IMU1,713650,713397.901,3073,-16088,-904
IMU1,713698,713445.8722,3087,-16098,-882
IMU1,713746,713493.8434,3081,-16078,-872
IMU1,713794,713541.8146,3092,-16106,-895
IMU1,713842,713589.7858,3078,-16113,-902
IMU1,713890,713637.757,3055,-16065,-867
IMU1,713938,713685.7282,3035,-16058,-852
IMU1,713986,713733.6994,3027,-16087,-850
IMU1,714034,713781.6706,2956,-16116,-877
IMU1,714082,713829.6418,2959,-16089,-857
IMU1,714130,713877.613,2962,-16046,-879
IMU1,714178,713925.5842,2959,-16097,-864
IMU1,714226,713973.5554,2953,-16050,-888
IMU1,714274,714021.5266,2948,-16073,-829
IMU1,714322,714069.4978,2904,-16072,-804
IMU1,714370,714117.469,2904,-16073,-834
IMU1,714418,714165.4402,2918,-16066,-904
IMU1,714466,714213.4114,2967,-16055,-878
IMU1,714514,714261.3826,2977,-16074,-879
IMU1,714562,714309.3538,2958,-16063,-864
IMU1,714610,714357.325,2980,-16056,-886
