IMU2,708758,3078,-16209,-2153
IMU2,708806,3051,-16176,-2139
IMU2,708854,3060,-16205,-2168
IMU2,708902,3083,-16242,-2178
IMU2,708950,3097,-16206,-2178
IMU2,708998,3071,-16217,-2189
IMU2,709046,3079,-16179,-2166
IMU2,709094,3076,-16170,-2162
IMU2,709142,3044,-16213,-2190
IMU2,709190,3030,-16234,-2180
IMU2,709238,3080,-16222,-2171
IMU2,709286,3105,-16195,-2170
IMU2,709334,3086,-16213,-2208
IMU2,709382,3062,-16242,-2195
IMU2,709430,3077,-16176,-2153
IMU2,709478,3061,-16169,-2179
IMU2,709526,3132,-16207,-2188
IMU2,709574,3122,-16231,-2168
IMU2,709622,3090,-16233,-2156
IMU2,709670,3084,-16197,-2205
IMU2,709718,3066,-16195,-2185
IMU2,709766,3082,-16183,-2207
IMU2,709814,3046,-16193,-2172
IMU2,709862,3096,-16150,-2197
IMU2,709910,3061,-16224,-2199
IMU2,709958,3039,-16191,-2194
IMU2,710006,3062,-16184,-2180
IMU2,710054,3034,-16223,-2187
IMU2,710102,3049,-16229,-2193
IMU2,710150,3006,-16153,-2168
IMU2,710198,3041,-16164,-2187
IMU2,710246,3045,-16184,-2205
IMU2,710294,3047,-16188,-2181
IMU2,710342,3034,-16168,-2191
IMU2,710390,3058,-16175,-2187
IMU2,710438,3024,-16179,-2177
IMU2,710486,3060,-16199,-2184
IMU2,710534,3083,-16162,-2177
IMU2,710582,3062,-16174,-2189
IMU2,710630,3090,-16243,-2198
IMU2,710678,3056,-16230,-2199
IMU2,710726,3103,-16149,-2181
IMU2,710774,3086,-16202,-2195
IMU2,710822,3067,-16185,-2195
IMU2,710870,3022,-16148,-2212
IMU2,710918,3068,-16249,-2200
IMU2,710966,3008,-16213,-2225
IMU2,711014,3131,-16201,-2202
IMU2,711062,3110,-16195,-2211
IMU2,711110,3101,-16212,-2191
IMU2,711158,3103,-16215,-2202
IMU2,711206,3091,-16183,-2202
IMU2,711254,3127,-16200,-2219
IMU2,711302,3133,-16174,-2193
IMU2,711350,3141,-16169,-2211
IMU2,711398,3102,-16188,-2185
IMU2,711446,3119,-16158,-2175
IMU2,711494,3113,-16186,-2164
IMU2,711542,3174,-16215,-2171
IMU2,711590,3118,-16190,-2146
IMU2,711638,3176,-16198,-2168
IMU2,711686,3195,-16199,-2158
IMU2,711734,3125,-16193,-2148
IMU2,711782,3175,-16194,-2174
IMU2,711830,3116,-16189,-2150
IMU2,711878,3105,-16228,-2195
IMU2,711926,3171,-16175,-2168
IMU2,711974,3122,-16198,-2168
IMU2,712022,3112,-16219,-2203
IMU2,712070,3097,-16252,-2159
IMU2,712118,3145,-16204,-2192
IMU2,712166,3141,-16223,-2154
IMU2,712214,3161,-16219,-2165
IMU2,712262,3173,-16225,-2186
IMU2,712310,3116,-16218,-2203
IMU2,712358,3081,-16199,-2204
IMU2,712406,3095,-16200,-2215
IMU2,712454,3113,-16252,-2235
IMU2,712502,3091,-16225,-2224
IMU2,712550,3113,-16204,-2217
IMU2,712598,3144,-16245,-2255
IMU2,712646,3130,-16210,-2244
IMU2,712694,3139,-16197,-2219
IMU2,712742,3143,-16208,-2242
IMU2,712790,3099,-16225,-2208
IMU2,712838,3129,-16239,-2236
IMU2,712886,3149,-16206,-2221
IMU2,712934,3109,-16204,-2230
IMU2,712982,3100,-16261,-2212
IMU2,713030,3137,-16202,-2184
IMU2,713078,3115,-16228,-2166
IMU2,713126,3123,-16251,-2142
IMU2,713174,3124,-16210,-2165
IMU2,713222,3141,-16258,-2172
IMU2,713270,3122,-16230,-2159
IMU2,713318,3157,-16250,-2148
IMU2,713366,3163,-16229,-2178
IMU2,713414,3140,-16277,-2144
IMU2,713462,3107,-16292,-2112
IMU2,713510,3128,-16284,-2108
IMU2,713558,3079,-16273,-2174
IMU2,713606,3107,-16273,-2168
IMU2,713654,3103,-16283,-2131
IMU2,713702,3054,-16300,-2169
IMU2,713750,3095,-16267,-2145
IMU2,713798,3014,-16252,-2144
IMU2,713846,3040,-16303,-2145
IMU2,713894,3024,-16277,-2149
IMU2,713942,3028,-16255,-2150
IMU2,713990,2963,-16275,-2172
IMU2,714038,2979,-16214,-2150
IMU2,714086,2995,-16219,-2179
IMU2,714134,3017,-16188,-2175
IMU2,714182,2926,-16246,-2172
IMU2,714230,2941,-16226,-2191
IMU2,714278,2968,-16242,-2166
IMU2,714326,2931,-16283,-2144
IMU2,714374,3016,-16220,-2165
IMU2,714422,2966,-16290,-2136
IMU2,714470,2961,-16281,-2184
IMU2,714518,2978,-16272,-2163
IMU2,714566,2994,-16314,-2163
IMU2,714614,3008,-16278,-2144
IMU2,714662,3017,-16241,-2189
IMU2,714710,3055,-16255,-2172
IMU2,714758,2976,-16316,-2183
IMU2,714806,3094,-16288,-2204
IMU2,714854,3144,-16311,-2180
IMU2,714902,3108,-16254,-2200
IMU2,714950,3163,-16247,-2229
IMU2,714998,3139,-16226,-2225
IMU2,715046,3140,-16175,-2210
IMU2,715094,3096,-16242,-2230
IMU2,715142,3083,-16223,-2236
IMU2,715190,3103,-16195,-2236
IMU2,715238,3107,-16188,-2240
